"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"54",2021,"Eibar","La Liga","opponent",30,50.4,38,21668,2897,9306,8407,4147,603,21663,519,315,60.7,203,39.1,10485,51893,24904,446,317,125,544,311,12449,1036,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"55",2021,"Eint Frankfurt","Bundesliga","team",25,53.7,34,22260,2238,6633,10666,5179,784,22252,514,277,53.9,237,46.1,11914,64571,33489,664,491,154,565,312,14146,1534,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"56",2021,"Eint Frankfurt","Bundesliga","opponent",25,46,34,19904,2376,7145,8659,4325,728,19898,597,333,55.8,263,44.1,10344,56044,28503,598,426,161,611,331,11659,1236,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"57",2021,"Elche","La Liga","team",30,47.5,38,20849,2572,8345,9141,3560,417,20846,618,365,59.1,253,40.9,11794,58755,28514,501,368,73,614,345,13378,922,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"58",2021,"Elche","La Liga","opponent",30,52.4,38,22919,1668,5637,11438,6060,824,22909,578,368,63.7,210,36.3,14099,73905,40137,702,575,158,526,341,15541,1630,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"59",2021,"Everton","Premier League","team",29,46.4,38,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"60",2021,"Everton","Premier League","opponent",29,53.5,38,25600,2093,7302,12068,6454,873,25596,664,398,59.9,266,40.1,14327,78959,41468,794,607,181,635,374,17537,1651,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"61",2021,"Fiorentina","Serie A","team",30,46.3,38,20903,2094,6147,9711,5257,659,20897,575,325,56.5,250,43.5,11681,63012,31755,637,499,114,561,422,13327,1345,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"62",2021,"Fiorentina","Serie A","opponent",30,53.8,38,23782,2263,7326,11387,5319,745,23771,544,315,57.9,229,42.1,13985,74623,40985,749,527,166,534,267,15983,1480,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"63",2021,"Freiburg","Bundesliga","team",24,47.3,34,19508,2360,7173,8373,4126,609,19502,423,230,54.4,193,45.6,10521,53317,26292,463,326,111,531,231,12049,1155,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"64",2021,"Freiburg","Bundesliga","opponent",24,53,34,21614,2289,7284,9927,4634,690,21608,448,280,62.5,168,37.5,12026,67661,36242,670,519,155,560,263,14164,1254,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"65",2021,"Fulham","Premier League","team",28,49.7,38,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13406,74278,37380,727,525,156,721,393,15290,1338,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"66",2021,"Fulham","Premier League","opponent",28,50.1,38,24188,2377,7606,11296,5504,752,24181,581,327,56.3,254,43.7,13523,68845,34502,559,456,139,555,347,15656,1317,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"67",2021,"Genoa","Serie A","team",34,44.8,38,22041,2592,7852,10124,4302,575,22037,540,294,54.4,246,45.6,12392,60413,29841,523,393,118,589,304,13835,1155,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"68",2021,"Genoa","Serie A","opponent",34,60,38,26116,2165,7335,12572,6449,890,26109,640,385,60.2,255,39.8,15104,78153,41066,811,586,190,654,300,17868,1781,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"69",2021,"Getafe","La Liga","team",31,43.3,38,17678,1589,4689,7849,5367,669,17673,483,263,54.5,220,45.5,8137,43690,21035,443,390,116,607,354,8882,1076,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"70",2021,"Getafe","La Liga","opponent",31,57.2,38,22842,2309,8032,10578,4424,496,22834,619,378,61.1,241,38.9,11476,56925,27910,454,333,87,600,338,13875,1180,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"71",2021,"Gladbach","Bundesliga","team",23,51.7,34,22731,2265,7428,11085,4422,763,22720,533,319,59.8,214,40.2,12808,63789,33946,612,415,186,548,299,15116,1363,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"72",2021,"Gladbach","Bundesliga","opponent",23,48.1,34,21470,2306,7309,9906,4462,738,21464,531,316,59.5,215,40.5,11948,59414,28930,511,380,139,509,288,13805,1264,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"73",2021,"Granada","La Liga","team",34,41.4,38,17155,2133,6002,7387,3948,532,17149,516,312,60.5,204,39.5,8122,43889,21461,411,288,105,526,346,8979,961,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"74",2021,"Granada","La Liga","opponent",34,59,38,23132,1938,6784,10742,5793,792,23121,468,283,60.5,186,39.7,12755,66716,33978,636,503,146,590,314,14910,1431,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"75",2021,"Hellas Verona","Serie A","team",32,49.8,38,21344,2127,6507,9961,5150,706,21341,479,292,61,187,39,11100,57832,29476,599,457,138,578,309,12789,1474,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"76",2021,"Hellas Verona","Serie A","opponent",32,50.2,38,21619,2443,7204,9606,5054,850,21612,413,240,58.1,173,41.9,11223,58223,27416,546,421,180,608,292,12987,1246,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"77",2021,"Hertha BSC","Bundesliga","team",32,49.6,34,19978,2070,6901,9353,3935,652,19972,571,329,57.6,242,42.4,11197,62916,31992,589,394,171,563,310,12472,1163,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"78",2021,"Hertha BSC","Bundesliga","opponent",32,50.6,34,20327,1930,5898,9738,4892,677,20319,493,288,58.4,205,41.6,11248,61034,31353,588,464,114,578,280,12850,1394,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"79",2021,"Hoffenheim","Bundesliga","team",30,51.2,34,21927,2268,7085,10005,5044,741,21921,553,279,50.5,274,49.5,12424,62580,31672,581,420,136,613,280,14162,1510,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"80",2021,"Hoffenheim","Bundesliga","opponent",30,48.9,34,21153,2305,7107,9944,4306,730,21144,539,310,57.5,229,42.5,11244,62150,32167,587,387,160,551,279,13392,1331,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"81",2021,"Huesca","La Liga","team",27,48.3,38,21271,2396,7960,9099,4469,594,21267,653,426,65.2,227,34.8,11737,65272,34054,617,452,113,539,305,13397,1173,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"82",2021,"Huesca","La Liga","opponent",27,51.7,38,23054,2166,6647,10739,5873,741,23049,579,340,58.7,239,41.3,13402,66411,33322,657,474,141,563,317,15249,1433,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"83",2021,"Inter","Serie A","team",25,52.5,38,25312,2417,7654,11562,6304,1012,25303,454,260,57.3,193,42.5,14452,75884,42467,766,517,198,543,262,18210,1695,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"84",2021,"Inter","Serie A","opponent",25,47.6,38,23488,2594,7409,10843,5440,615,23481,527,314,59.6,213,40.4,14098,71745,35823,667,582,125,472,294,16520,1261,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"85",2021,"Juventus","Serie A","team",30,56.9,38,27067,2595,7973,12836,6507,1068,27057,684,451,65.9,233,34.1,15418,85068,46167,949,696,272,581,300,19722,1756,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"86",2021,"Juventus","Serie A","opponent",30,42.9,38,21560,2598,6982,9238,5568,679,21551,612,369,60.3,243,39.7,12552,65756,34066,690,553,159,535,323,14305,1351,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"87",2021,"Köln","Bundesliga","team",28,46.3,34,19710,2348,7307,8641,3948,524,19704,420,238,56.7,182,43.3,10391,52199,25655,429,304,84,576,264,11841,1120,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"88",2021,"Köln","Bundesliga","opponent",28,53.7,34,22441,1936,6449,11296,4891,726,22432,546,298,54.6,248,45.4,12534,66478,34561,551,423,124,590,338,14818,1472,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"89",2021,"Lazio","Serie A","team",30,53,38,24888,2487,7653,11527,5958,883,24878,553,297,53.7,256,46.3,14348,81890,44030,785,618,171,553,304,16794,1677,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
"90",2021,"Lazio","Serie A","opponent",30,46.9,38,22633,2462,7359,10690,4827,671,22623,678,424,62.5,254,37.5,12738,69870,37028,715,503,137,585,341,14643,1321,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
"91",2021,"Leeds United","Premier League","team",23,57.3,38,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625,"https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats"
"92",2021,"Leeds United","Premier League","opponent",23,42.4,38,19786,2395,6410,8265,5409,875,19777,769,459,59.7,311,40.4,10613,67444,35138,720,557,184,663,431,11160,1188,"https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats"
"93",2021,"Leicester City","Premier League","team",27,54.3,38,25365,2268,7924,11997,5674,772,25353,645,358,55.5,287,44.5,13991,72340,37072,666,481,142,549,322,16883,1455,"https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats"
"94",2021,"Leicester City","Premier League","opponent",27,45.4,38,22044,2246,7030,10289,4962,656,22040,676,381,56.4,295,43.6,11743,64847,33298,567,452,108,558,386,13694,1237,"https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats"
"95",2021,"Lens","Ligue 1","team",27,51.1,38,23098,2044,6791,11442,5083,678,23086,636,363,57.1,273,42.9,13085,75523,42321,743,499,122,620,348,14953,1553,"https://fbref.com/en/squads/fd4e0f7d/2020-2021/Lens-Stats"
"96",2021,"Lens","Ligue 1","opponent",27,48.6,38,22302,2201,7302,10479,4740,626,22291,533,296,55.5,237,44.5,12552,64058,31928,569,404,118,597,364,14142,1206,"https://fbref.com/en/squads/fd4e0f7d/2020-2021/Lens-Stats"
"97",2021,"Levante","La Liga","team",29,52.2,38,21882,2407,7652,9504,4931,679,21876,615,366,59.5,249,40.5,12435,63695,33417,621,446,136,548,326,14069,1526,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
"98",2021,"Levante","La Liga","opponent",29,47.6,38,20773,2104,6440,9282,5282,800,20769,543,335,61.7,209,38.5,11550,61623,32018,625,486,175,505,304,12942,1284,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
"99",2021,"Leverkusen","Bundesliga","team",30,59.7,34,25357,2233,7430,12821,5329,785,25354,710,426,60,284,40,14600,78526,39850,724,500,202,620,335,17759,1510,"https://fbref.com/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats"
"100",2021,"Leverkusen","Bundesliga","opponent",30,40.1,34,18528,2415,7163,7899,3662,613,18526,499,285,57.1,213,42.7,9391,49568,25000,501,317,136,565,287,10804,1022,"https://fbref.com/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats"
"101",2021,"Lille","Ligue 1","team",21,53.8,38,25941,1898,6831,13326,6020,726,25936,705,408,57.9,297,42.1,15631,76909,39867,713,620,168,622,380,17767,1647,"https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats"
"102",2021,"Lille","Ligue 1","opponent",21,46.1,38,22989,2403,8505,10486,4269,545,22987,707,402,56.9,305,43.1,12984,64757,31278,607,447,135,628,348,14751,1248,"https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats"
"103",2021,"Liverpool","Premier League","team",28,62.1,38,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796,2041,"https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats"
