"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"118",2021,"Metz","Ligue 1","opponent",27,38,76,6,2,504,486,44,742,393,384,12,11,2,2075,612,601,50.5,"https://fbref.com/en/squads/f83960ae/2020-2021/Metz-Stats"
"119",2021,"Milan","Serie A","team",29,38,83,4,1,513,474,92,688,382,357,15,5,1,2069,567,539,51.3,"https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats"
"120",2021,"Milan","Serie A","opponent",29,38,83,4,3,502,486,44,730,417,297,5,20,2,1977,539,567,48.7,"https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats"
"121",2021,"Monaco","Ligue 1","team",30,38,78,7,2,486,470,70,746,436,432,11,5,1,2182,611,558,52.3,"https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats"
"122",2021,"Monaco","Ligue 1","opponent",30,38,89,12,4,499,462,56,536,503,334,5,15,0,2064,558,611,47.7,"https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats"
"123",2021,"Montpellier","Ligue 1","team",25,38,65,7,0,513,452,48,807,420,334,4,12,2,1876,657,643,50.5,"https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats"
"124",2021,"Montpellier","Ligue 1","opponent",25,38,79,4,1,477,480,36,743,414,326,11,5,0,1954,643,657,49.5,"https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats"
"125",2021,"Nantes","Ligue 1","team",25,38,70,4,2,514,498,54,676,465,384,8,12,1,2063,671,700,48.9,"https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats"
"126",2021,"Nantes","Ligue 1","opponent",25,38,88,3,1,539,488,55,657,460,409,8,9,0,2022,700,671,51.1,"https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats"
"127",2021,"Napoli","Serie A","team",25,38,76,3,2,386,548,72,665,369,345,7,5,1,1923,414,404,50.6,"https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats"
"128",2021,"Napoli","Serie A","opponent",25,38,107,6,3,580,362,72,575,403,278,5,8,3,1811,404,414,49.4,"https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats"
"129",2021,"Newcastle Utd","Premier League","team",27,38,65,3,2,388,420,58,652,362,268,6,5,3,1770,634,655,49.2,"https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats"
"130",2021,"Newcastle Utd","Premier League","opponent",27,38,60,3,1,432,369,70,844,372,276,3,7,2,1973,655,634,50.8,"https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats"
"131",2021,"Nice","Ligue 1","team",31,38,73,4,2,459,438,40,599,435,364,6,7,0,1965,391,419,48.3,"https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats"
"132",2021,"Nice","Ligue 1","opponent",31,38,66,1,0,466,438,60,746,473,403,4,7,1,1977,419,391,51.7,"https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats"
"133",2021,"Nîmes","Ligue 1","team",33,38,60,5,2,424,533,50,617,501,372,6,10,0,1906,517,671,43.5,"https://fbref.com/en/squads/1cbf5f9e/2020-2021/Nimes-Stats"
"134",2021,"Nîmes","Ligue 1","opponent",33,38,87,9,2,565,390,56,780,444,419,7,8,0,2074,671,517,56.5,"https://fbref.com/en/squads/1cbf5f9e/2020-2021/Nimes-Stats"
"135",2021,"Osasuna","La Liga","team",28,38,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3,"https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats"
