"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"88",2021,"Köln","Bundesliga","opponent",28,34,446,284,201,177,68,182,420,43.3,238,376,96,280,363,809,618,7,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"89",2021,"Lazio","Serie A","team",30,38,595,346,284,244,67,254,678,37.5,424,404,92,312,445,1040,649,7,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
"90",2021,"Lazio","Serie A","opponent",30,38,560,292,270,211,79,256,553,46.3,297,420,124,296,453,1013,781,13,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
"91",2021,"Leeds United","Premier League","team",23,38,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,"https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats"
"92",2021,"Leeds United","Premier League","opponent",23,38,564,318,242,235,87,245,563,43.5,318,448,126,322,426,990,812,14,"https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats"
"93",2021,"Leicester City","Premier League","team",27,38,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,"https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats"
"94",2021,"Leicester City","Premier League","opponent",27,38,609,350,287,250,72,287,645,44.5,358,450,140,310,449,1058,679,15,"https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats"
"95",2021,"Lens","Ligue 1","team",27,38,601,358,264,253,84,237,533,44.5,296,375,92,283,508,1109,690,12,"https://fbref.com/en/squads/fd4e0f7d/2020-2021/Lens-Stats"
"96",2021,"Lens","Ligue 1","opponent",27,38,621,357,287,266,68,273,636,42.9,363,373,101,272,454,1075,676,11,"https://fbref.com/en/squads/fd4e0f7d/2020-2021/Lens-Stats"
"97",2021,"Levante","La Liga","team",29,38,512,283,268,189,55,208,543,38.3,335,336,94,242,432,944,680,15,"https://fbref.com/en/squads/9800b6a1/2020-2021/Levante-Stats"
