"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
"120",2021,"Milan","Serie A","opponent",29,38,18132,16208,1880,584,18,198,730,698,202,92,80,0,14481,44,363,"https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats"
"121",2021,"Monaco","Ligue 1","team",30,38,21991,20044,1877,513,32,174,746,823,218,96,92,3,17738,70,300,"https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats"
"122",2021,"Monaco","Ligue 1","opponent",30,38,17419,15501,1862,526,10,190,536,782,124,40,64,0,13479,56,327,"https://fbref.com/en/squads/fd6114db/2020-2021/Monaco-Stats"
"123",2021,"Montpellier","Ligue 1","team",25,38,16620,14667,1905,477,12,194,807,817,184,68,95,4,12720,48,308,"https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats"
"124",2021,"Montpellier","Ligue 1","opponent",25,38,20043,18127,1880,516,23,161,743,764,214,95,85,2,16330,36,276,"https://fbref.com/en/squads/281b0e73/2020-2021/Montpellier-Stats"
"125",2021,"Nantes","Ligue 1","team",25,38,16537,14540,1943,569,20,114,676,846,178,106,65,1,12326,54,306,"https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats"
"126",2021,"Nantes","Ligue 1","opponent",25,38,21456,19341,2060,530,14,173,657,991,173,73,68,3,17198,55,338,"https://fbref.com/en/squads/d7a486cd/2020-2021/Nantes-Stats"
"127",2021,"Napoli","Serie A","team",25,38,22210,20306,1832,611,27,198,665,699,219,85,66,0,18892,72,345,"https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats"
"128",2021,"Napoli","Serie A","opponent",25,38,18101,16370,1659,433,12,135,575,618,146,65,59,1,14839,72,345,"https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats"
"129",2021,"Newcastle Utd","Premier League","team",27,38,14709,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321,"https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats"
"130",2021,"Newcastle Utd","Premier League","opponent",27,38,23488,21775,1643,420,19,136,844,723,226,108,80,5,19529,70,325,"https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats"
"131",2021,"Nice","Ligue 1","team",31,38,21589,19731,1818,500,16,169,599,759,168,91,45,0,18110,40,309,"https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats"
"132",2021,"Nice","Ligue 1","opponent",31,38,18253,16401,1792,464,19,157,746,744,215,87,80,4,14737,60,278,"https://fbref.com/en/squads/132ebc33/2020-2021/Nice-Stats"
"133",2021,"Nîmes","Ligue 1","team",33,38,16714,14592,2072,594,13,167,617,902,161,68,68,5,12696,50,291,"https://fbref.com/en/squads/1cbf5f9e/2020-2021/Nimes-Stats"
"134",2021,"Nîmes","Ligue 1","opponent",33,38,21162,19228,1878,437,24,193,780,904,200,93,76,2,17110,56,355,"https://fbref.com/en/squads/1cbf5f9e/2020-2021/Nimes-Stats"
"135",2021,"Osasuna","La Liga","team",28,38,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281,"https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats"
"136",2021,"Osasuna","La Liga","opponent",28,38,20219,18086,2037,565,34,198,800,906,176,70,40,2,15379,96,296,"https://fbref.com/en/squads/03c57e2b/2020-2021/Osasuna-Stats"
"137",2021,"Paris S-G","Ligue 1","team",33,38,26137,24439,1633,456,55,106,695,666,218,104,44,3,22941,65,265,"https://fbref.com/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats"
