"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"58",2021,"Elche","La Liga","opponent",30,27.4,52.4,38,418,3420,38,54,43,97,48,6,10,79,2,60.9,53.2,44,97.2,702,1647,1.42,1.13,2.55,1.26,2.39,1.6,1.16,2.76,1.4,2.56,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"59",2021,"Everton","Premier League","team",29,26.3,46.4,38,418,3420,38,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"60",2021,"Everton","Premier League","opponent",29,26.4,53.5,38,418,3420,38,47,33,80,44,3,4,66,1,50.1,46.9,33.8,80.7,794,1664,1.24,0.87,2.11,1.16,2.03,1.32,0.89,2.21,1.24,2.12,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"61",2021,"Fiorentina","Serie A","team",30,26.6,46.3,38,418,3420,38,44,31,75,38,6,6,86,5,44.9,40.2,31.6,71.8,637,1353,1.16,0.82,1.97,1,1.82,1.18,0.83,2.01,1.06,1.89,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"62",2021,"Fiorentina","Serie A","opponent",30,27.4,53.8,38,418,3420,38,57,39,96,49,8,11,81,2,61.5,52.8,43.2,96,749,1491,1.5,1.03,2.53,1.29,2.32,1.62,1.14,2.75,1.39,2.53,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"63",2021,"Freiburg","Bundesliga","team",24,26.2,47.3,34,374,3060,34,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.5,1,2.5,1.32,2.32,1.34,0.87,2.21,1.2,2.07,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"64",2021,"Freiburg","Bundesliga","opponent",24,26,53,34,374,3060,34,50,35,85,46,4,6,54,0,52.4,47.7,36,83.8,670,1269,1.47,1.03,2.5,1.35,2.38,1.54,1.06,2.6,1.4,2.46,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"65",2021,"Fulham","Premier League","team",28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"66",2021,"Fulham","Premier League","opponent",28,26.6,50.1,38,418,3420,38,52,34,86,45,7,7,40,1,52.6,47.2,37.4,84.5,559,1327,1.37,0.89,2.26,1.18,2.08,1.38,0.98,2.37,1.24,2.22,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"67",2021,"Genoa","Serie A","team",34,28.3,44.8,38,418,3420,38,46,32,78,42,4,4,87,2,38.8,35.6,26.4,62.1,523,1165,1.21,0.84,2.05,1.11,1.95,1.02,0.7,1.72,0.94,1.63,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"68",2021,"Genoa","Serie A","opponent",34,27.2,60,38,418,3420,38,56,40,96,49,7,7,69,1,60.4,55.3,43.7,99,811,1796,1.47,1.05,2.53,1.29,2.34,1.59,1.15,2.74,1.45,2.61,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"69",2021,"Getafe","La Liga","team",31,26.7,43.3,38,418,3420,38,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1,0.91,0.62,1.53,0.8,1.42,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"70",2021,"Getafe","La Liga","opponent",31,27.4,57.2,38,418,3420,38,40,26,66,33,7,8,106,6,40.3,34,25.8,59.8,454,1195,1.05,0.68,1.74,0.87,1.55,1.06,0.68,1.74,0.9,1.57,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"71",2021,"Gladbach","Bundesliga","team",23,26.9,51.7,34,374,3060,34,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,612,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"72",2021,"Gladbach","Bundesliga","opponent",23,25.6,48.1,34,374,3060,34,56,44,100,50,6,6,75,3,45.7,41.1,31.3,72.4,511,1269,1.65,1.29,2.94,1.47,2.76,1.35,0.92,2.27,1.21,2.13,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"73",2021,"Granada","La Liga","team",34,27.4,41.4,38,418,3420,38,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.7,1.79,0.98,1.68,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"74",2021,"Granada","La Liga","opponent",34,27.6,59,38,418,3420,38,64,41,105,58,6,12,104,6,56.2,46.8,38.2,85,636,1449,1.68,1.08,2.76,1.53,2.61,1.48,1.01,2.48,1.23,2.24,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"75",2021,"Hellas Verona","Serie A","team",32,26.2,49.8,38,418,3420,38,38,30,68,35,3,3,91,1,45.3,43,33.5,76.5,599,1490,1,0.79,1.79,0.92,1.71,1.19,0.88,2.08,1.13,2.01,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"76",2021,"Hellas Verona","Serie A","opponent",32,27,50.2,38,418,3420,38,46,31,77,40,6,7,81,2,49.5,44.6,32.6,77.1,546,1263,1.21,0.82,2.03,1.05,1.87,1.3,0.86,2.16,1.17,2.03,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"77",2021,"Hertha BSC","Bundesliga","team",32,25.4,49.6,34,374,3060,34,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"78",2021,"Hertha BSC","Bundesliga","opponent",32,26.1,50.6,34,374,3060,34,51,35,86,44,7,8,68,3,47.4,41.1,32.9,74.1,588,1403,1.5,1.03,2.53,1.29,2.32,1.4,0.97,2.36,1.21,2.18,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"79",2021,"Hoffenheim","Bundesliga","team",30,25.7,51.2,34,374,3060,34,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.5,1.12,2.62,1.35,2.47,1.53,1.1,2.62,1.39,2.49,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"80",2021,"Hoffenheim","Bundesliga","opponent",30,26,48.9,34,374,3060,34,52,38,90,46,6,9,47,2,53.1,46.4,36.6,82.9,587,1344,1.53,1.12,2.65,1.35,2.47,1.56,1.08,2.64,1.36,2.44,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"81",2021,"Huesca","La Liga","team",27,28,48.3,38,418,3420,38,32,23,55,29,3,4,69,2,38.7,35.9,26.6,62.5,617,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.72,0.94,1.64,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"82",2021,"Huesca","La Liga","opponent",27,27.3,51.7,38,418,3420,38,51,37,88,46,5,5,64,2,48.1,44.3,35.6,80,657,1447,1.34,0.97,2.32,1.21,2.18,1.27,0.94,2.2,1.17,2.11,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"83",2021,"Inter","Serie A","team",25,27.7,52.5,38,418,3420,38,84,62,146,76,8,9,61,2,74.2,67.2,52.5,119.8,766,1707,2.21,1.63,3.84,2,3.63,1.95,1.38,3.34,1.77,3.15,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"84",2021,"Inter","Serie A","opponent",25,26.9,47.6,38,418,3420,38,34,19,53,29,5,7,84,3,39.8,34.4,25.7,60.1,667,1279,0.89,0.5,1.39,0.76,1.26,1.05,0.68,1.73,0.9,1.58,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
