"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"225",2022,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","20",2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,NA,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
"226",2022,"Athletic Club","La Liga","Unai Simón","ESP","GK","24",1997,34,34,3060,34,31,0.91,111,81,74.8,13,11,10,12,35.3,3,3,0,0,0,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"227",2022,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","28",1993,38,38,3420,38,43,1.13,106,65,66,21,8,9,12,31.6,8,7,1,0,12.5,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
"228",2022,"Augsburg","Bundesliga","Rafał Gikiewicz","POL","GK","33",1987,34,34,3060,34,56,1.65,156,102,67.3,10,8,16,9,26.5,5,5,0,0,0,"https://fbref.com/en/players/17376543/Rafal-Gikiewicz"
"229",2022,"Barcelona","La Liga","Neto","BRA","GK","32",1989,3,3,270,3,4,1.33,14,10,71.4,2,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a9dc785c/Neto"
"230",2022,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","29",1992,35,35,3150,35,34,0.97,109,74,70.6,19,9,7,11,31.4,3,2,1,0,33.3,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
"231",2022,"Bayern Munich","Bundesliga","Christian Früchtl","GER","GK","21",2000,1,0,10,0.1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/1940be91/Christian-Fruchtl"
"232",2022,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","35",1986,28,28,2510,27.9,26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,0,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
"233",2022,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","32",1988,6,6,540,6,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
"234",2022,"Betis","La Liga","Claudio Bravo","CHI","GK","38",1983,17,17,1456,16.2,19,1.17,56,39,67.9,8,4,5,5,29.4,1,1,0,0,0,"https://fbref.com/en/players/10072610/Claudio-Bravo"
"235",2022,"Betis","La Liga","Rui Silva","POR","GK","27",1994,22,21,1964,21.8,21,0.96,76,55,75,11,4,6,8,38.1,2,2,0,0,0,"https://fbref.com/en/players/ea83bfa6/Rui-Silva"
"236",2022,"Bochum","Bundesliga","Michael Esser","GER","GK","33",1987,3,3,270,3,7,2.33,21,14,76.2,2,0,1,0,0,2,2,0,0,0,"https://fbref.com/en/players/83e0eeb4/Michael-Esser"
"237",2022,"Bochum","Bundesliga","Manuel Riemann","GER","GK","32",1988,31,31,2790,31,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40,"https://fbref.com/en/players/9f941969/Manuel-Riemann"
"238",2022,"Bologna","Serie A","Nicola Bagnolini","ITA","GK","17",2004,1,0,3,0,0,0,1,1,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/ad263695/Nicola-Bagnolini"
"239",2022,"Bologna","Serie A","Francesco Bardi","ITA","GK","29",1992,2,2,177,2,2,1.02,9,7,77.8,1,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/0acda699/Francesco-Bardi"
"240",2022,"Bologna","Serie A","Łukasz Skorupski","POL","GK","30",1991,36,36,3240,36,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,0,11.1,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
"241",2022,"Bordeaux","Ligue 1","Benoît Costil","FRA","GK","34",1987,25,25,2250,25,62,2.48,133,72,57.1,3,8,14,0,0,5,5,0,0,0,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
"242",2022,"Bordeaux","Ligue 1","Gaëtan Poussin","FRA","GK","22",1999,13,13,1170,13,29,2.23,61,32,55.7,3,5,5,2,15.4,4,2,2,0,50,"https://fbref.com/en/players/c252c705/Gaetan-Poussin"
"243",2022,"Brentford","Premier League","Álvaro Fernández","ESP","GK","23",1998,12,12,1080,12,24,2,69,47,66.7,3,2,7,1,8.3,1,1,0,0,0,"https://fbref.com/en/players/f127d782/Alvaro-Fernandez"
"244",2022,"Brentford","Premier League","Jonas Lössl","DEN","GK","32",1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/939bc634/Jonas-Lossl"
