"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"54",2021,"Angers","Ligue 1","Zinédine Ould Khaled","FRA","MF","20",2000,0.4,22,0,4,17,1,0,22,0,0,NA,0,NA,16,91,47,1,1,0,0,1,19,0,"https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled"
"55",2021,"Angers","Ligue 1","Mateo Pavlović","BIH","DF","30",1990,12.3,632,77,337,290,9,7,632,0,0,NA,0,NA,350,1593,816,2,1,0,2,1,389,0,"https://fbref.com/en/players/450e277f/Mateo-Pavlovic"
"56",2021,"Angers","Ligue 1","Mathias Pereira Lage","POR","FW,MF","23",1996,16.3,666,18,122,317,238,27,666,39,17,43.6,22,56.4,356,1950,883,24,30,6,37,16,428,87,"https://fbref.com/en/players/8846a40f/Mathias-Pereira-Lage"
"57",2021,"Angers","Ligue 1","Baptiste Santamaria","FRA","MF","25",1995,3,197,4,37,127,34,4,197,5,2,40,3,60,84,437,222,4,3,0,2,3,111,1,"https://fbref.com/en/players/5e22e2a4/Baptiste-Santamaria"
"58",2021,"Angers","Ligue 1","Waniss Taibi","FRA","MF","18",2002,0.4,32,0,3,22,7,2,32,0,0,NA,0,NA,25,129,61,1,1,0,1,0,31,4,"https://fbref.com/en/players/95192fe4/Waniss-Taibi"
"59",2021,"Angers","Ligue 1","Sada Thioub","SEN","FW,MF","25",1995,14,780,12,123,348,322,47,780,65,35,53.8,30,46.2,555,3778,1884,52,42,12,43,40,626,115,"https://fbref.com/en/players/f4bc42b1/Sada-Thioub"
"60",2021,"Angers","Ligue 1","Romain Thomas","FRA","DF","32",1988,33.6,1993,242,1101,877,30,22,1993,3,2,66.7,1,33.3,1132,4758,1971,4,1,0,13,5,1209,5,"https://fbref.com/en/players/275e2c51/Romain-Thomas"
"61",2021,"Angers","Ligue 1","Ismaël Traoré","CIV","DF","33",1986,33.3,2014,201,1027,929,76,27,2014,16,14,87.5,2,12.5,1228,4960,2370,11,11,0,21,2,1328,8,"https://fbref.com/en/players/b666421b/Ismael-Traore"
"62",2021,"Arminia","Bundesliga","Jacob Barrett Laursen","DEN","DF","25",1994,12.3,692,59,255,343,102,1,692,9,8,88.9,1,11.1,297,1316,638,13,3,0,13,2,331,20,"https://fbref.com/en/players/c0d3bd23/Jacob-Barrett-Laursen"
"63",2021,"Arminia","Bundesliga","Brian Behrendt","GER","DF","28",1991,0.9,61,2,12,40,9,0,61,0,0,NA,0,NA,24,71,36,0,0,0,0,0,32,2,"https://fbref.com/en/players/b1a21aca/Brian-Behrendt"
"64",2021,"Arminia","Bundesliga","Cédric Brunner","SUI","DF","26",1994,29.5,1748,125,671,822,267,8,1748,31,23,74.2,8,25.8,803,3362,1482,28,23,1,22,12,835,41,"https://fbref.com/en/players/f0a37d36/Cedric-Brunner"
"65",2021,"Arminia","Bundesliga","Sergio Córdova","VEN","FW,MF","22",1997,12.1,425,12,44,199,194,34,425,33,12,36.4,21,63.6,245,1263,508,17,12,5,41,22,280,77,"https://fbref.com/en/players/229cd98a/Sergio-Cordova"
"66",2021,"Arminia","Bundesliga","Mike van der Hoorn","NED","DF","27",1992,15.1,972,134,601,357,17,13,972,1,1,100,0,0,552,2610,1437,4,1,0,3,3,645,3,"https://fbref.com/en/players/25f50295/Mike-van-der-Hoorn"
"67",2021,"Arminia","Bundesliga","Ritsu Doan","JPN","MF,FW","22",1998,30.8,1287,10,151,557,606,88,1287,123,62,50.4,61,49.6,736,4483,2203,88,48,33,110,51,786,169,"https://fbref.com/en/players/d01bbb6f/Ritsu-Doan"
"68",2021,"Arminia","Bundesliga","Christian Gebauer","AUT","MF,FW","26",1993,7.6,243,19,62,91,95,18,243,6,2,33.3,4,66.7,125,565,235,8,3,3,13,10,145,41,"https://fbref.com/en/players/d847944b/Christian-Gebauer"
"69",2021,"Arminia","Bundesliga","Marcel Hartel","GER","MF","24",1996,18.7,947,29,189,509,258,19,947,25,17,68,8,32,467,2233,911,18,13,1,22,16,536,39,"https://fbref.com/en/players/614eca9b/Marcel-Hartel"
"70",2021,"Arminia","Bundesliga","Fabian Klos","GER","FW","32",1987,30.1,1135,35,84,542,516,131,1133,34,8,23.5,26,76.5,551,2371,955,24,22,4,83,29,843,141,"https://fbref.com/en/players/e21042ae/Fabian-Klos"
"71",2021,"Arminia","Bundesliga","Fabian Kunze","GER","MF","22",1998,14.1,732,32,208,430,105,11,732,17,7,41.2,10,58.8,323,1439,767,13,14,3,14,8,390,17,"https://fbref.com/en/players/d25fee56/Fabian-Kunze"
"72",2021,"Arminia","Bundesliga","Anderson Lucoqui","ANG","DF","23",1997,17.8,960,64,361,449,160,3,960,22,12,54.5,10,45.5,394,2022,826,18,16,1,32,17,388,23,"https://fbref.com/en/players/5569bf9a/Anderson-Lucoqui"
"73",2021,"Arminia","Bundesliga","Arne Maier","GER","MF","21",1999,11.5,537,13,113,286,147,14,537,13,8,61.5,5,38.5,270,1500,699,17,5,2,20,9,290,22,"https://fbref.com/en/players/ab700320/Arne-Maier"
"74",2021,"Arminia","Bundesliga","Nathan de Medina","BEL","DF","22",1997,7.1,412,27,149,197,67,4,412,11,5,45.5,6,54.5,156,527,194,4,2,1,14,9,165,8,"https://fbref.com/en/players/d686dbc0/Nathan-de-Medina"
"75",2021,"Arminia","Bundesliga","Sebastian Müller","GER","MF,DF","19",2001,0,1,0,0,0,1,0,1,0,0,NA,0,NA,1,0,0,0,0,0,1,0,1,1,"https://fbref.com/en/players/d3585b17/Sebastian-Muller"
"76",2021,"Arminia","Bundesliga","Joakim Nilsson","SWE","DF","26",1994,24,1331,179,809,499,30,15,1331,4,3,75,1,25,698,2873,1653,5,0,0,7,1,763,5,"https://fbref.com/en/players/c562c5b4/Joakim-Nilsson"
